Team,Score
Ohio State,61.0
Notre Dame,53.0
Mississippi,51.0
Indiana,47.0
Texas,46.0
Penn State,42.5
Miami (FL),39.0
Boise State,37.5
Oregon,37.5
Army,35.0
Southern Methodist,34.5
Alabama,33.5
Tennessee,33.0
Tulane,32.0
Nevada-Las Vegas,31.5
South Carolina,28.5
Ohio,28.0
Texas State,27.5
Louisville,27.0
Arizona State,26.5
Brigham Young,26.5
James Madison,26.5
Clemson,26.0
Memphis,26.0
Georgia,23.5
Navy,23.5
Colorado,22.5
Jacksonville State,22.0
Minnesota,20.5
Iowa,20.0
Texas Christian,19.5
Iowa State,19.5
Marshall,19.0
Kansas State,18.5
Connecticut,18.5
Missouri,18.0
Texas A&M,17.5
Washington State,16.5
Baylor,15.5
South Alabama,15.0
Bowling Green,14.5
Illinois,14.5
Louisiana,14.0
Louisiana State,14.0
Toledo,13.0
Virginia Tech,13.0
Nebraska,12.5
Miami (OH),12.5
Sam Houston,12.5
Southern California,12.5
Florida,12.0
East Carolina,11.5
Northern Illinois,11.5
Auburn,10.5
Liberty,10.5
Boston College,9.5
Arkansas,9.0
Syracuse,8.5
Rutgers,8.0
Pittsburgh,7.5
North Carolina,7.0
Georgia Tech,6.0
Central Florida,6.0
Texas-San Antonio,6.0
Buffalo,5.0
Kansas,5.0
California,5.0
Texas Tech,5.0
Vanderbilt,5.0
Oklahoma,4.5
Utah,4.0
Duke,3.5
Michigan,3.5
South Florida,3.5
Western Kentucky,3.0
Cincinnati,2.0
Fresno State,2.0
San Jose State,1.5
Montana State,1.0
Florida International,1.0
Louisiana Tech,1.0
Monmouth,0.5
Georgia Southern,0.0
Idaho,0.0
Washington,0.0
Wisconsin,-0.5
Central Arkansas,-0.5
North Texas,-0.5
Abilene Christian,-0.5
North Dakota State,-1.0
Southeast Missouri State,-1.0
Old Dominion,-1.0
Lamar,-1.0
Missouri State,-1.0
Gardner-Webb,-1.5
Lafayette,-2.0
Jackson State,-2.0
Western Carolina,-2.0
Campbell,-2.0
Northern Arizona,-2.0
Stephen F. Austin,-2.0
South Dakota,-2.0
Colgate,-2.0
Morgan State,-2.0
Kentucky,-3.0
Delaware State,-4.0
Fordham,-4.0
Elon,-4.0
California-Davis,-4.0
Towson,-4.0
Eastern Michigan,-4.0
North Dakota,-4.0
Tennessee-Martin,-4.0
South Dakota State,-4.0
Idaho State,-4.0
Robert Morris,-4.0
Richmond,-4.0
William & Mary,-4.0
Northern Colorado,-4.0
Villanova,-4.0
North Carolina State,-5.0
Western Michigan,-5.0
East Tennessee State,-5.0
Southern Illinois,-5.0
Grambling State,-5.0
Nicholls State,-5.0
Bucknell,-5.0
Troy,-5.0
Texas A&M-Commerce,-5.0
Colorado State,-5.0
St. Francis (PA),-5.0
South Carolina State,-5.0
Holy Cross,-5.0
Howard,-6.0
Sacramento State,-6.0
North Carolina A&T,-6.0
Lehigh,-6.0
Weber State,-6.0
Samford,-6.0
Cal Poly,-6.0
Albany,-6.0
North Carolina Central,-6.0
Eastern Washington,-6.0
Citadel,-6.0
Charleston Southern,-6.0
Coastal Carolina,-7.0
Lindenwood,-7.0
Tarleton State,-7.0
Norfolk State,-7.0
Illinois State,-7.0
Stony Brook,-7.0
North Alabama,-7.0
West Virginia,-7.0
McNeese State,-7.0
Long Island,-7.0
Prairie View A&M,-7.0
Maine,-7.0
Mercer,-7.0
Wofford,-7.0
Southern Utah,-7.5
Florida Atlantic,-7.5
Air Force,-7.5
Hawaii,-8.0
Arkansas-Pine Bluff,-8.0
New Hampshire,-8.0
Alabama A&M,-8.0
Austin Peay,-8.0
Tennessee Tech,-8.0
Furman,-8.0
Indiana State,-8.0
Rhode Island,-8.0
Utah Tech,-8.0
Texas Southern,-8.0
Virginia Military Institute,-8.0
Youngstown State,-8.0
Chattanooga,-8.5
Central Connecticut State,-9.0
Merrimack,-10.0
Northern Iowa,-10.0
Wagner,-10.0
New Mexico,-10.5
Appalachian State,-10.5
Utah State,-10.5
Eastern Illinois,-11.0
Rice,-11.0
Oregon State,-11.5
Nevada,-12.0
Bethune-Cookman,-12.0
Florida A&M,-12.0
Virginia,-12.5
Southeastern Louisiana,-13.0
Wake Forest,-13.0
Maryland,-13.0
Eastern Kentucky,-13.0
Arkansas State,-13.5
UCLA,-13.5
Alcorn State,-14.0
Northwestern State,-14.0
Houston Baptist,-14.0
Portland State,-14.0
Michigan State,-14.5
Murray State,-15.0
Duquesne,-15.0
Western Illinois,-15.0
Alabama-Birmingham,-15.5
Central Michigan,-16.0
Mississippi State,-16.0
Louisiana-Monroe,-16.5
Northwestern,-17.0
Oklahoma State,-17.0
Wyoming,-18.5
Georgia State,-18.5
Houston,-18.5
San Diego State,-20.0
Arizona,-21.0
Stanford,-21.5
Akron,-23.0
Charlotte,-23.5
Florida State,-24.5
Massachusetts,-25.0
Ball State,-26.5
Texas-El Paso,-27.5
Kennesaw State,-29.0
New Mexico State,-30.5
Temple,-33.5
Middle Tennessee State,-34.0
Tulsa,-35.0
Southern Mississippi,-42.0
Purdue,-44.5
Kent State,-57.5
