ID,Canonical Name,Aliases
S00001,10th Dist. A.C.,"10th District A.C., "
S00002,111th Ambulance,
S00003,11th Cavalry,
S00004,1st Infantry,
S00005,1stTexasArtillery,
S00006,20th Infantry,
S00007,260th Coast Artil,"260th Coast Artillery, "
S00008,2nd TX 132nd Inf,"2nd Texas 132nd Infantry, "
S00009,362nd Infantry,
S00010,3rd Army Corps,
S00011,5th Division,
S00012,63rd Infantry,
S00013,9th Amry Corps,
S00014,AL Huntsville,"AL Hunstville, Alabama Huntsville, UAH, "
S00015,AL Presbyterian,"Alabama Presbyterian, "
S00016,AU Puerto Rico,
S00017,Abilene Christian,"Abeline Christian, Albilene Christian, Abilene Ch, Abilene Chr, "
S00018,Abilene Field,
S00019,Academy of Art,
S00020,Active Football,"Active Football Club, "
S00021,Adams St.,"Adams St, Adams State, "
S00022,Adelbert,
S00023,Adelphi,
S00024,Adrian,
S00025,Afghanistan,"Afghanistan National Team, "
S00026,Air Force,
S00027,Akron-Wayne,"Akron-Wayne College, "
S00028,Akron,
S00029,UAB,"Ala.-Birmingham, Al Birmingham, Ala Birmingham, Alabama-Birm, Alabama-Birmingham, Alabama-Birm., "
S00030,Alabama A&M,
S00031,Alabama Medical,
S00032,Alabama Southern,
S00033,Alabama St.,"Alabama St, Alabama State, "
S00034,Alabama,
S00035,Alameda Coast Grd,"Alameda Coast Guard, "
S00036,Alameda NAS,
S00037,Alaska Anchorage,"Ala Anchorage, AK Anchorage, Alas. Anchorage, "
S00038,Alaska,"Alaska Fairbanks, Ala Fairbanks, AK Fairbanks, "
S00039,Albany (NY),"Albany, N.Y., Albany (NY), Albany, Albany, NY, Albany NY, SUNY-Albany, UAlbany, "
S00040,Albany Pharmacy,"Albany College of Pharmacy, "
S00041,Albany State (GA),"Alanym, Ga., Albany St., Albany State, Albany, GA, Albany GA, Albany St., Ga., Albany-Georgia, Albany St, "
S00042,Albertson,
S00043,Albertus Magnus,"Albertus, "
S00044,Albion,
S00045,Albright,
S00046,Albuquerque Field,
S00047,Alcorn State,"Alcorn St, Alcorn, "
S00048,Alderson-Broaddus,"Ald-Broaddus, "
S00049,Alfred U,"Alfred, "
S00050,Alfred State,"Alfred St, "
S00051,Alice Lloyd,"Alice Lloyd (Ky.), Alice Lloyd College, "
S00052,Allegheny,
S00053,Allen,"Allen University, "
S00054,Alliance,
S00055,Alma,"Alma College, "
S00056,Altoona A.C.,
S00057,Alvernia,
S00058,Amarillo Field,
S00059,American Intl.,"American Intl, American Int'l, American International, American Int'l., AIC, "
S00060,American Legion,
S00061,American Medical,
S00062,American,"American Univ, American University, American U., "
S00063,Amherst YMCA,
S00064,Amherst,
S00065,Anaconda Anodes,
S00066,Anderson (IN),"Anderson, Ind., "
S00067,Anderson (SC),"Anderson, S.C., Anderson College, Anderson College (SC), Anderson, "
S00068,Andover,
S00069,Angelo St.,"Angelo St, Angelo State, "
S00070,Anna Maria,
S00071,Appalach. Bible,"Appalachian Bible, "
S00072,Appalachian St.,"Apalachian St, Appalachian State, Appalachian St, Appalachian, Appalachain State, App State, "
S00073,Aquinas (MI),"Aquinas, "
S00074,Arcadia,"Beaver, "
S00075,Arizona All-Stars,
S00076,Arizona St.,"Arizona State, Arizona St, "
S00077,Arizona,
S00078,Ark Monticello,"Ark.-Monticello, Arkansas-Monticello, Ark-Monticello, Ark-Monticllo, Arkansas Monticello, Arkansas-Montcello, "
S00079,Ark Pine Bluff,"Ark.-Pine Bluff, Ark-Pne Bluf, Arkansas-Pine Bluff, Arkansas Pine-Bluff, Pine Bluff, "
S00080,Arkansas A&M,
S00081,Arkansas Baptist,"Ark Baptist, "
S00082,Arkansas FS,"Arkansas Fort Smith, Ark.-Fort Smith, UA Fort Smith, "
S00083,Little Rock,"Arkansas LR, Arkansas Little Rock, Ark-Little Rock, Arkansas Ltl Rock, UALR, "
S00084,Arkansas St.,"Arkansas St, Arkansas State, "
S00085,Arkansas Tech,"Arkasas Tech, "
S00086,Arkansas,
S00087,Armour,
S00088,Armstrong Atl,"ArmstrongAtlantic, Armstrong Atlantic State, Armstrong Atlantic St., Armstrong Atlantic, Armstrong St., Armstrong State, "
S00089,Army Ambulance,"Army Ambulance Corps, "
S00090,Army,"Army West Point, "
S00091,Asbury,"Asbury (KY), Asbury College, "
S00092,Ashland,
S00093,Assumption,
S00094,Athens A.C.,
S00095,Athens State,"Athens St., Athens State University, "
S00096,Athens,
S00097,ATL Chr.,"Atlanta Christian, Atlanta Chr, "
S00098,ATL Chr. Col.,"Atlanta Christian College, Atlanta College, "
S00099,Atlantic City NAS,
S00100,Atlantic Union,"Atlantic Union (MA), "
S00101,Atlantic Chr.,"AtlanticChristian, "
S00102,Auburn Montgomery,"Aub.-Montgomery, "
S00103,Auburn,
S00104,Augsburg,
S00105,Augusta,"Georgia Regents, Augusta State, Augusta St., GRU Augusta, "
S00106,Augustana (IL),"Augustana,Ill., Augustana (Ill.), Augustana, IL, Augustana IL, Augustana, Ill., Augustana College, "
S00107,Augustana (SD),"Augustana,S.D., Augustana, Augustana, SD, Augustana SD, Augustana, S.D., "
S00108,Aurora,
S00109,Austin Col.,"Austin College, Austin, Austin Col, "
S00110,Austin Peay,"Austin Peay State, Austin Peay State University, "
S00111,Averett College,"Averett, "
S00112,Avila,"Avila (MO), "
S00113,Azusa Pacific,"Azuza Pacific, "
S00114,BYU Hawaii,"Brigham Young-Hawaii, "
S00115,Babson,
S00116,Bacone,
S00117,Bailey Military,
S00118,Bainbridge NTS,
S00119,Baker,"Baker KS, Baker Wildcats, "
S00120,Balboa NTS,
S00121,Baldwin-Wallace,
S00122,Ball St.,"Ball State, Ball St, "
S00123,Ballard Meteors,
S00124,Baltimore A.C.,
S00125,Baltimore,
S00126,Clarks Summit,"Summit, Bap Bible PA, Baptist Bible, "
S00127,Bap Bible MO,"Bible Baptist, Baptist Bible (Mo.), "
S00128,Baptist Christian,
S00129,Barat,"Barat College, "
S00130,Barber-Scotia,
S00131,Bard,
S00132,Barksdale Field,
S00133,Barron Field,
S00134,Barry,
S00135,Bartlesville Wsln,"Bartlesville Wesleyan, "
S00136,Barton,"Barton College, "
S00137,Baruch,
S00138,Bates,
S00139,Baylor,
S00140,Beaumont Hospital,
S00141,Becker,
S00142,Belhaven,"Belhaven MS, Belhaven College, "
S00143,Bellarmine,"Bellarmine Univeristy, "
S00144,BellefonteAcademy,
S00145,Bellevue,"Bellevue (NE), Bellevue (Neb.), "
S00146,Belmont Abbey,
S00147,Belmont,"Belmont A.C., "
S00148,Beloit High,
S00149,Beloit,
S00150,Bemidji St.,"Bemidji St, Bemidji State, "
S00151,Benedictine (KS),"Benedictine,Kan., Benedictine (KAN), Benedictine KS, Benedictine, Kans., "
S00152,Benedict,"Benedict College, Benedict (SC), "
S00153,Bennett Medical,
S00154,Bentley,"Bentley College, Bentley (MA), "
S00155,Berea,"Berea (Ky.), Berea College, "
S00156,Berg Field,
S00157,Bergstrom Field,
S00158,Berkeley A.C.,
S00159,Berkeley College,"Berkeley (NY), Berkeley, Berkley, Berkekey College, NY, Berkeley College, NJ, Berkeley College (NY), Berkeley (N.J.), "
S00160,Berry College,"Berry, "
S00161,"Bethany, Cal.","Bethany (CA), Bethany (Calif.), "
S00162,Bethany (KS),"Bethany, Kan., Bethany (Kansas), Bethany KS, Bethany, Kans., "
